I0,I1
142.85699,149.42000
200.00000,149.53900
166.66701,149.58000
166.66701,149.62000
166.66701,149.66000
166.66701,149.69901
111.11100,149.61000
166.66701,149.64900
166.66701,149.68900
166.66701,149.72800
166.66701,149.76700
166.66701,149.80600
166.66701,149.84500
166.66701,149.88300
166.66701,149.92200
166.66701,149.96001
142.85699,149.94400
100.00000,149.83000
166.66701,149.86800
166.66701,149.90601
166.66701,149.94400
166.66701,149.98199
166.66701,150.01900
200.00000,150.13200
142.85699,150.11501
166.66701,150.15199
166.66701,150.18900
250.00000,150.41100
142.85699,150.39400
200.00000,150.50400
166.66701,150.53900
166.66701,150.57500
166.66701,150.61000
166.66701,150.64600
166.66701,150.68100
166.66701,150.71600
166.66701,150.75000
100.00000,150.64000
166.66701,150.67500
166.66701,150.70900
166.66701,150.74400
166.66701,150.77800
166.66701,150.81200
200.00000,150.91800
142.85699,150.90100
166.66701,150.93401
166.66701,150.96800
166.66701,151.00101
166.66701,151.03400
166.66701,151.06799
166.66701,151.10100
166.66701,151.13300
166.66701,151.16600
166.66701,151.19901
142.85699,151.18100
200.00000,151.28300
142.85699,151.26601
100.00000,151.15900
166.66701,151.19099
200.00000,151.29201
142.85699,151.27499
200.00000,151.37601
142.85699,151.35800
200.00000,151.45799
142.85699,151.44099
200.00000,151.53999
142.85699,151.52200
200.00000,151.62100
142.85699,151.60300
166.66701,151.63400
111.11100,151.55200
200.00000,151.64999
142.85699,151.63200
166.66701,151.66200
166.66701,151.69299
166.66701,151.72301
166.66701,151.75301
100.00000,151.64900
142.85699,151.63200
200.00000,151.72800
166.66701,151.75800
166.66701,151.78700
142.85699,151.76900
200.00000,151.86501
142.85699,151.84700
200.00000,151.94200
142.85699,151.92400
200.00000,152.01801
166.66701,152.04700
125.00000,151.99400
200.00000,152.08800
166.66701,152.11600
166.66701,152.14400
166.66701,152.17200
166.66701,152.20000
200.00000,152.29300
166.66701,152.32001
100.00000,152.22000
200.00000,152.31200
166.66701,152.33900
200.00000,152.42999
166.66701,152.45700
200.00000,152.54800
200.00000,152.63800
166.66701,152.66499
166.66701,152.69099
166.66701,152.71800
200.00000,152.80701
166.66701,152.83299
200.00000,152.92200
166.66701,152.94701
