px,py,fx,fy,zx,zy,zs
0.20143,0.59571,0.36857,0.50857,1.00000,1.00000,1.00000
0.21286,0.59286,0.38000,0.50571,0.95616,0.98028,0.96830
0.23857,0.56714,0.40571,0.48000,0.87393,0.88793,0.88096
0.24714,0.55143,0.41429,0.46429,0.92131,0.90939,0.91537
0.24714,0.54286,0.41429,0.45571,0.93594,0.92527,0.93062
0.24714,0.53429,0.41429,0.44714,0.92776,0.93462,0.93119
0.24857,0.52571,0.41571,0.43857,0.90984,0.89712,0.90350
0.25000,0.52286,0.41714,0.43571,0.95045,0.93119,0.94087
0.24857,0.52714,0.41571,0.44000,0.97156,0.95566,0.96365
0.24714,0.52714,0.41429,0.44000,0.94634,0.91237,0.92951
0.24000,0.53143,0.40714,0.44429,0.91237,0.90395,0.90817
0.23429,0.53429,0.40143,0.44714,0.94350,0.96250,0.95305
0.23000,0.53286,0.39714,0.44571,0.94611,0.95455,0.95034
0.23000,0.53286,0.66571,0.59857,1.00000,1.00000,1.00000
0.23000,0.53286,0.66571,0.59857,1.00000,1.00000,1.00000
0.23000,0.53286,0.66571,0.59857,1.00000,1.00000,1.00000
0.23000,0.53286,0.66571,0.59857,1.00000,1.00000,1.00000
0.23000,0.53286,0.66571,0.59857,1.00000,1.00000,1.00000
0.23000,0.53286,0.66571,0.59857,1.00000,1.00000,1.00000
0.49857,0.80000,0.62286,0.59714,1.00000,1.00000,1.00000
0.48571,0.80286,0.61000,0.60000,1.07971,1.04242,1.06123
0.47429,0.80571,0.59857,0.60286,1.06711,1.06977,1.06844
0.46857,0.80857,0.59286,0.60571,1.02516,1.05163,1.03848
0.45714,0.81286,0.58143,0.61000,1.03988,1.04393,1.04190
0.43857,0.81286,0.56286,0.61000,1.07670,1.04950,1.06319
0.43000,0.81000,0.55429,0.60714,1.03014,1.02594,1.02804
0.42857,0.80571,0.55286,0.60286,1.00532,1.01379,1.00956
0.42286,0.80714,0.54714,0.60429,1.02116,1.01814,1.01965
0.42143,0.80571,0.54571,0.60286,1.00777,1.00891,1.00834
0.42143,0.80429,0.54571,0.60143,1.00257,1.00662,1.00460
0.42143,0.80286,0.54571,0.60000,1.00513,1.00658,1.00585
0.42000,0.79857,0.54429,0.59571,1.00000,1.00218,1.00109
