I0,I1,I2,I3,I4,I5,I6
29.14286,81.28571,54.28572,57.57143,1.00000,100.00000,100.00000
29.14286,81.28571,54.28572,57.57143,1.00000,100.00000,100.00000
29.14286,81.28571,54.28572,57.57143,1.00000,100.00000,100.00000
29.14286,81.28571,54.28572,57.57143,1.00000,100.00000,100.00000
29.14286,81.28571,54.28572,57.57143,1.00000,100.00000,100.00000
29.14286,81.28571,54.28572,57.57143,1.00000,100.00000,100.00000
29.14286,81.28571,54.28572,57.57143,1.00000,100.00000,100.00000
29.14286,81.28571,54.28572,57.57143,1.00000,100.00000,100.00000
29.14286,81.28571,54.28572,57.57143,1.00000,100.00000,100.00000
29.14286,81.28571,54.28572,57.57143,1.00000,100.00000,100.00000
29.14286,81.28571,54.28572,57.57143,1.00000,100.00000,100.00000
29.14286,81.28571,54.28572,57.57143,1.00000,100.00000,100.00000
29.14286,81.28571,54.28572,57.57143,1.00000,100.00000,100.00000
29.14286,81.28571,54.28572,57.57143,1.00000,100.00000,100.00000
29.14286,81.28571,54.28572,57.57143,1.00000,100.00000,100.00000
29.00000,81.28571,54.14286,57.57143,1.00345,100.00000,100.17257
29.00000,81.28571,54.14286,57.57143,1.00000,100.00000,100.00000
29.00000,81.28571,54.14286,57.57143,1.00000,100.00000,100.00000
29.00000,81.28571,54.14286,57.57143,1.00000,100.00000,100.00000
29.00000,81.28571,54.14286,57.57143,1.00000,100.00000,100.00000
29.00000,81.28571,54.14286,57.57143,1.00000,100.00000,100.00000
29.00000,81.28571,54.14286,57.57143,1.00000,100.00000,100.00000
29.00000,81.28571,54.14286,57.57143,1.00000,100.00000,100.00000
29.00000,81.28571,54.14286,57.57143,1.00000,100.00000,100.00000
29.00000,81.28571,54.14286,57.57143,1.00000,100.00000,100.00000
29.00000,81.28571,54.14286,57.57143,1.00000,100.00000,100.00000
29.00000,81.28571,54.14286,57.57143,1.00000,100.00000,100.00000
29.00000,81.28571,54.14286,57.57143,1.00000,100.00000,100.00000
29.00000,81.28571,54.14286,57.57143,1.00000,100.00000,100.00000
29.00000,81.28571,54.14286,57.57143,1.00000,100.00000,100.00000
29.00000,81.28571,54.14286,57.57143,1.00000,100.00000,100.00000
29.00000,81.28571,54.14286,57.57143,1.00000,100.00000,100.00000
29.00000,81.28571,54.14286,57.57143,1.00000,100.00000,100.00000
29.00000,81.28571,54.14286,57.57143,1.00000,100.00000,100.00000
29.00000,81.28571,54.14286,57.57143,1.00000,100.00000,100.00000
29.00000,81.28571,54.14286,57.57143,1.00000,100.00000,100.00000
29.00000,81.28571,54.14286,57.57143,1.00000,100.00000,100.00000
29.00000,81.28571,54.14286,57.57143,1.00000,100.00000,100.00000
29.00000,81.28571,54.14286,57.57143,1.00000,100.00000,100.00000
29.00000,81.42857,54.14286,57.71428,1.00000,100.32787,100.16407
29.00000,81.42857,54.14286,57.71428,1.00000,100.00000,100.00000
29.00000,81.42857,54.14286,57.71428,1.00000,100.00000,100.00000
29.00000,81.42857,54.14286,57.71428,1.00000,100.00000,100.00000
29.00000,81.42857,54.14286,57.71428,1.00000,100.00000,100.00000
29.00000,81.42857,54.14286,57.71428,1.00000,100.00000,100.00000
29.00000,81.42857,54.14286,57.71428,1.00000,100.00000,100.00000
29.00000,81.42857,54.14286,57.71428,1.00000,100.00000,100.00000
29.00000,81.42857,54.14286,57.71428,1.00000,100.00000,100.00000
29.00000,81.42857,54.14286,57.71428,1.00000,100.00000,100.00000
29.00000,81.42857,54.14286,57.71428,1.00000,100.00000,100.00000
29.00000,81.42857,54.14286,57.71428,1.00000,100.00000,100.00000
29.00000,81.42857,54.14286,57.71428,1.00000,100.00000,100.00000
29.00000,81.42857,54.14286,57.71428,1.00000,100.00000,100.00000
29.00000,81.42857,54.14286,57.71428,1.00000,100.00000,100.00000
29.00000,81.42857,54.14286,57.71428,1.00000,100.00000,100.00000
29.00000,81.42857,54.14286,57.71428,1.00000,100.00000,100.00000
29.00000,81.42857,54.14286,57.71428,1.00000,100.00000,100.00000
29.00000,81.42857,54.14286,57.71428,1.00000,100.00000,100.00000
29.00000,81.42857,54.14286,57.71428,1.00000,100.00000,100.00000
29.00000,81.42857,54.14286,57.71428,1.00344,100.00000,100.17197
29.00000,81.42857,54.14286,57.71428,1.00000,100.00000,100.00000
29.00000,81.42857,54.14286,57.71428,1.00000,100.00000,100.00000
29.00000,81.42857,54.14286,57.71428,1.00000,100.00000,100.00000
29.00000,81.42857,54.14286,57.71428,1.00000,100.00000,100.00000
29.00000,81.42857,54.14286,57.71428,1.00000,100.00000,100.00000
29.00000,81.42857,54.14286,57.71428,1.00000,100.00000,100.00000
29.00000,81.42857,54.14286,57.71428,1.00000,100.00000,100.00000
29.00000,81.42857,54.14286,57.71428,1.00000,100.00000,100.00000
29.00000,81.42857,54.14286,57.71428,1.00000,100.00000,100.00000
29.00000,81.42857,54.14286,57.71428,1.00000,100.00000,100.00000
29.00000,81.42857,54.14286,57.71428,1.00000,100.00000,100.00000
29.00000,81.42857,54.14286,57.71428,1.00000,100.00000,100.00000
29.00000,81.42857,54.14286,57.71428,1.00000,100.00000,100.00000
29.00000,81.42857,54.14286,57.71428,1.00000,100.00000,100.00000
29.00000,81.42857,54.14286,57.71428,1.00000,100.00000,100.00000
29.00000,81.42857,54.14286,57.71428,1.00000,100.00000,100.00000
29.00000,81.42857,54.14286,57.71428,1.00000,100.00000,100.00000
29.00000,81.42857,54.14286,57.71428,1.00000,100.00000,100.00000
29.00000,81.42857,54.14286,57.71428,1.00000,100.00000,100.00000
29.00000,81.42857,54.14286,57.71428,1.00000,100.00000,100.00000
29.00000,81.42857,54.14286,57.71428,1.00000,100.00000,100.00000
29.00000,81.42857,54.14286,57.71428,1.00000,100.00000,100.00000
29.00000,81.42857,54.14286,57.71428,1.00000,100.00000,100.00000
29.00000,81.42857,54.14286,57.71428,1.00000,100.32680,100.16354
29.00000,81.42857,54.14286,57.71428,1.00000,100.00000,100.00000
29.00000,81.42857,54.14286,57.71428,1.00000,100.00000,100.00000
29.00000,81.42857,54.14286,57.71428,1.00000,100.00000,100.00000
29.00000,81.42857,54.14286,57.71428,1.00000,100.00000,100.00000
29.00000,81.42857,54.14286,57.71428,1.00000,100.00000,100.00000
29.00000,81.42857,54.14286,57.71428,1.00000,100.00000,100.00000
29.00000,81.42857,54.14286,57.71428,1.00000,100.00000,100.00000
29.00000,81.42857,54.14286,57.71428,1.00000,100.00000,100.00000
29.00000,81.42857,54.14286,57.71428,1.00000,100.00000,100.00000
29.00000,81.42857,54.14286,57.71428,1.00000,100.00000,100.00000
29.00000,81.42857,54.14286,57.71428,1.00000,100.00000,100.00000
29.00000,81.42857,54.14286,57.71428,1.00000,100.00000,100.00000
29.00000,81.42857,54.14286,57.71428,1.00000,100.00000,100.00000
29.00000,81.42857,54.14286,57.71428,1.00000,100.00000,100.00000
29.00000,81.42857,54.14286,57.71428,1.00000,100.00000,100.00000
29.00000,81.42857,54.14286,57.71428,1.00000,100.00000,100.00000
29.00000,81.42857,54.14286,57.71428,1.00000,100.00000,100.00000
28.85714,81.42857,54.00000,57.71428,0.99657,100.00000,99.82892
28.85714,81.42857,54.00000,57.71428,1.00000,100.00000,100.00000
28.42857,81.85715,53.57143,58.14286,0.97594,98.37133,97.98369
27.85714,82.42857,53.00000,58.71429,0.94014,95.03311,94.52497
27.85714,82.42857,53.00000,58.71429,1.00000,100.00000,100.00000
27.71428,82.85715,52.85714,59.14286,0.96255,96.86411,96.55988
27.71428,82.85715,52.85714,59.14286,1.00000,100.00000,100.00000
27.00000,83.28571,52.14286,59.57143,0.91440,92.80576,92.12525
26.57143,83.85714,51.71428,60.14286,0.93617,93.02326,93.32062
26.28571,83.85714,51.42857,60.14286,0.98636,98.75000,98.69321
26.28571,83.85714,51.42857,60.14286,1.00000,100.00000,100.00000
26.14286,84.14286,51.28571,60.42857,0.95853,97.04641,96.45132
26.14286,84.14286,51.28571,60.42857,1.00000,100.00000,100.00000
25.57143,84.85714,50.71428,61.14286,0.85577,90.00000,87.81631
25.57143,84.85714,50.71428,61.14286,1.00000,100.00000,100.00000
25.42857,85.42857,50.57143,61.71429,0.89326,93.71980,91.54919
25.42857,86.14285,50.57143,62.42857,0.89308,92.78351,91.06242
25.28572,86.57143,50.42857,62.85714,0.94366,95.55556,94.96275
25.14286,87.00000,50.28571,63.28571,0.93284,95.34883,94.32186
25.14286,87.42857,50.28571,63.71428,0.93600,95.12195,94.36404
25.28572,87.71429,50.42857,64.00000,0.94017,95.51282,94.76791
25.28572,88.14286,50.42857,64.42857,0.93636,93.95973,93.79819
25.42857,88.28571,50.57143,64.57143,0.94175,95.00000,94.58828
25.71429,88.57143,50.85714,64.85714,0.92783,91.72932,92.25793
25.85714,88.71429,51.00000,65.00000,0.95556,93.44263,94.50500
25.85714,88.71429,51.00000,65.00000,0.95349,95.61404,95.48153
26.00000,88.85715,51.14286,65.14286,0.92683,95.41284,94.05779
25.85714,88.71429,51.00000,65.00000,0.93421,97.11539,95.28613
25.71429,88.71429,50.85714,65.00000,0.94366,96.03960,95.20658
25.85714,88.71429,51.00000,65.00000,0.98507,100.00000,99.25654
25.85714,88.57143,51.00000,64.85714,0.96970,97.93814,97.45512
25.71429,88.57143,50.85714,64.85714,0.98438,100.00000,99.22182
76.14286,30.14286,50.57143,53.00000,1.00000,100.00000,100.00000
76.14286,30.14286,50.57143,53.00000,1.00000,100.00000,100.00000
76.14286,30.14286,50.57143,53.00000,1.00000,100.00000,100.00000
76.14286,30.14286,50.57143,53.00000,1.00000,100.00000,100.00000
76.14286,30.00000,50.57143,52.85714,1.00000,99.68750,99.84387
76.00000,30.28571,50.42857,53.14286,0.97479,97.80564,97.64246
75.28571,30.71428,49.71429,53.57143,0.95977,96.47437,96.22601
74.71429,31.14286,49.14286,54.00000,0.97305,97.34219,97.32379
74.00000,31.71428,48.42857,54.57143,0.95692,96.58703,96.14071
73.57143,32.00000,48.00000,54.85714,0.97428,98.23322,97.83127
73.14285,32.28571,47.57143,55.14286,0.97030,97.84173,97.43656
72.85714,32.57143,47.28571,55.42857,0.98640,98.52941,98.58445
72.71429,32.71429,47.14286,55.57143,0.98966,99.25373,99.10973
72.71429,32.85714,47.14286,55.71429,0.97909,98.87218,98.39198
72.71429,33.00000,47.14286,55.85715,0.99288,98.85931,99.07402
72.71429,33.28571,47.14286,56.14285,0.97491,98.46154,97.97749
72.71429,33.42857,47.14286,56.28571,0.97794,98.43750,98.11634
72.71429,33.71429,47.14286,56.57143,0.95865,98.01588,96.94624
72.71429,34.00000,47.14286,56.85714,0.94902,97.57085,96.24566
72.57143,34.28572,47.00000,57.14286,0.96281,97.51038,96.89764
72.42857,34.57143,46.85714,57.42857,0.94421,95.74468,95.08494
72.28571,34.71428,46.71429,57.57143,0.95000,95.55556,95.27818
72.42857,34.85714,46.85714,57.71428,0.96172,98.13953,97.16087
72.57143,35.14286,47.00000,58.00000,0.95025,97.15640,96.09655
72.57143,35.42857,47.00000,58.28571,0.95288,97.07317,96.18471
72.28571,35.85714,46.71429,58.71429,0.95604,96.48241,96.04441
72.00000,36.14286,46.42857,59.00000,0.96552,95.31250,95.93412
72.00000,36.14286,46.42857,59.00000,1.00000,100.00000,100.00000
71.71429,36.57143,46.14286,59.42857,0.97024,97.26776,97.14586
71.71429,36.57143,46.14286,59.42857,1.00000,100.00000,100.00000
71.71429,37.14286,46.14286,60.00000,0.95705,93.82023,94.76756
