I0,I1,I2,I3,I4,I5,I6
13.42857,99.42857,56.42857,56.28571,7.29412,460.62726,643.94781
13.42857,99.42857,56.42857,56.28571,7.29412,460.62726,643.94781
12.28571,100.57143,55.28572,57.42857,6.71765,433.66370,599.69055
12.28571,100.57143,55.28572,57.42857,6.71765,433.66370,599.69055
11.85714,101.14286,54.85714,58.00000,6.16471,410.44507,559.02240
12.00000,101.28572,55.00000,58.14286,5.71765,387.22647,522.95978
12.42857,101.28572,55.42857,58.14286,5.55294,375.24268,507.33551
12.71429,101.28572,55.71429,58.14286,5.42353,364.00784,493.83182
13.00000,101.00000,56.00000,57.85714,5.30588,352.77304,480.86020
13.28571,100.57143,56.28571,57.42857,5.24706,346.03217,473.60440
13.28571,100.28571,56.28571,57.14286,5.16471,336.29535,463.23389
13.28571,100.14286,56.28571,57.00000,5.03529,327.30750,451.24026
13.14286,100.14286,56.14285,57.00000,4.87059,319.06863,438.18420
12.85714,100.00000,55.85715,56.85714,4.52941,304.08887,412.58221
12.85714,100.00000,55.85715,56.85714,4.29412,294.35205,395.28180
13.14286,100.14286,56.14285,57.00000,4.04706,281.61926,375.37195
13.42857,100.14286,56.42857,57.00000,3.83529,268.88647,357.06784
13.71428,100.14286,56.71428,57.00000,3.62353,255.40471,338.25983
14.14286,100.14286,57.14286,57.00000,3.45882,241.92293,321.64679
14.85714,100.28571,57.85714,57.14286,3.22353,226.94318,300.74991
15.00000,100.57143,58.00000,57.42857,3.03529,218.70432,286.52902
15.00000,100.71429,58.00000,57.57143,2.78823,211.96344,270.54929
15.00000,101.14286,58.00000,58.00000,2.43529,203.72458,248.45140
14.85714,101.42857,57.85714,58.28571,2.28235,196.98369,236.56819
14.42857,102.00000,57.42857,58.85714,2.11765,185.74889,221.29321
14.00000,102.14286,57.00000,59.00000,2.01177,180.50598,212.65144
13.57143,102.57143,56.57143,59.42857,1.90588,172.26712,202.20367
13.28571,102.85715,56.28571,59.71429,1.84706,167.77319,196.44641
13.14286,103.28572,56.14285,60.14286,1.72941,159.53432,185.37222
13.14286,103.57143,56.14285,60.42857,1.62353,152.04445,175.35109
12.71429,103.71429,55.71429,60.57143,1.54118,147.55054,168.32263
12.00000,104.14285,55.00000,61.00000,1.40000,140.06067,156.37883
11.57143,104.42857,54.57143,61.28572,1.31765,135.56674,149.28535
11.14286,104.57143,54.14286,61.42857,1.25882,133.31978,144.73109
11.00000,104.57143,54.00000,61.42857,1.23529,132.57079,142.97505
11.00000,104.57143,54.00000,61.42857,1.22353,132.57079,142.29587
11.00000,104.57143,54.00000,61.42857,1.22353,132.57079,142.29587
11.00000,104.71429,54.00000,61.57143,1.32941,136.31573,150.51987
8.14286,104.71429,51.14286,61.57143,2.21177,160.28333,216.83527
8.57143,103.57143,51.57143,60.42857,2.40000,179.00803,238.75267
9.14286,102.71429,52.14286,59.57143,2.67059,200.72865,266.69873
9.57143,102.42857,52.57143,59.28571,2.84706,211.96349,282.97717
9.71429,102.57143,52.71429,59.42857,3.02353,220.95134,297.75952
9.71429,102.71429,52.71429,59.57143,3.31765,235.18210,321.86807
9.57143,102.57143,52.57143,59.42857,3.55294,245.66791,340.48358
9.28571,102.28572,52.28571,59.14286,3.76470,257.65170,358.93970
8.85714,101.57143,51.85714,58.42857,4.01176,275.62741,383.23926
9.00000,101.14286,52.00000,58.00000,4.14117,287.61124,397.75763
9.14286,101.00000,52.14286,57.85714,4.31765,299.59503,414.51923
9.42857,101.00000,52.42857,57.85714,4.50588,311.57883,431.84610
9.57143,101.00000,52.57143,57.85714,4.69412,323.56262,449.17172
9.71429,100.71429,52.71429,57.57143,5.02353,342.28732,477.93698
9.85714,100.85714,52.85714,57.71428,5.25882,354.27112,497.50443
9.85714,101.00000,52.85714,57.85714,5.47059,365.50595,515.41425
9.42857,101.00000,52.42857,57.85714,5.65882,376.74078,532.20374
9.14286,101.14286,52.14286,58.00000,5.81176,383.48166,544.16241
8.57143,101.28572,51.57143,58.14286,5.89411,387.97559,551.20667
8.42857,101.28572,51.42857,58.14286,6.02353,395.46545,562.57886
8.28571,101.14286,51.28571,58.00000,6.15294,403.70435,574.48242
8.28571,101.28572,51.28571,58.14286,6.31765,410.44525,586.97491
8.42857,101.14286,51.42857,58.00000,6.50588,417.93512,601.08459
8.42857,101.14286,51.42857,58.00000,6.50588,417.93512,601.08459
8.85714,101.00000,51.85714,57.85714,6.70588,426.17401,616.25726
8.85714,101.00000,51.85714,57.85714,6.70588,426.17401,616.25726
10.14286,100.28571,53.14286,57.14286,7.14117,441.90274,647.68817
10.14286,100.28571,53.14286,57.14286,7.14117,441.90274,647.68817
10.85714,99.85715,53.85714,56.71428,7.36470,450.14163,663.87549
10.85714,99.85715,53.85714,56.71428,7.36470,450.14163,663.87549
11.57143,99.28571,54.57143,56.14285,7.57647,458.38046,679.50427
11.57143,99.28571,54.57143,56.14285,7.57647,458.38046,679.50427
11.71429,99.00000,54.71429,55.85715,7.69412,466.61935,690.88715
11.71429,99.00000,54.71429,55.85715,7.69412,466.61935,690.88715
11.85714,99.14285,54.85714,56.00000,7.74117,470.36429,695.77264
11.85714,99.14285,54.85714,56.00000,7.74117,470.36429,695.77264
11.85714,99.14285,54.85714,56.00000,7.74117,470.36429,695.77264
11.85714,99.14285,54.85714,56.00000,7.74117,470.36429,695.77264
11.85714,99.14285,54.85714,56.00000,7.74117,470.36429,695.77264
11.85714,99.14285,54.85714,56.00000,7.74117,470.36429,695.77264
11.85714,99.14285,54.85714,56.00000,7.68235,467.36838,690.91345
11.85714,99.14285,54.85714,56.00000,7.68235,467.36838,690.91345
11.14286,99.57143,54.14286,56.42857,7.16470,445.64771,651.62128
11.14286,99.57143,54.14286,56.42857,7.16470,445.64771,651.62128
10.28571,100.28571,53.28571,57.14286,6.45882,417.18616,598.82019
10.28571,100.85714,53.28571,57.71428,5.95294,393.21854,558.20282
10.28571,101.00000,53.28571,57.85714,5.75294,380.48575,539.78851
10.85714,100.57143,53.85714,57.42857,5.43529,363.25903,512.67377
11.00000,100.14286,54.00000,57.00000,5.12941,345.28333,485.56628
10.57143,100.00000,53.57143,56.85714,4.90588,332.55054,466.03616
10.28571,99.71429,53.28571,56.57143,4.71765,320.56671,448.69870
10.14286,99.42857,53.14286,56.28571,4.52941,308.58292,431.36057
10.28571,99.28571,53.28571,56.14285,4.31765,296.59912,412.90445
11.00000,99.28571,54.00000,56.14285,4.02353,279.37241,386.85562
11.28571,99.57143,54.28572,56.42857,3.87059,268.13760,371.72476
11.57143,99.85715,54.57143,56.71428,3.65882,253.90683,351.69193
11.57143,100.28571,54.57143,57.14286,3.38824,238.17809,327.80090
11.14286,100.42857,54.14286,57.28571,3.17647,225.44530,308.79874
10.28571,100.57143,53.28571,57.42857,2.88235,210.46555,284.27206
10.00000,100.85714,53.00000,57.71428,2.62353,199.97971,264.48837
10.28571,101.28572,53.28571,58.14286,2.37647,187.24692,243.64824
11.00000,102.00000,54.00000,58.85714,2.03529,172.26717,216.55121
11.28571,102.14286,54.28572,59.00000,1.85882,167.02425,203.95882
11.71429,102.14286,54.71429,59.00000,1.69412,162.53032,192.28181
11.42857,102.28572,54.42857,59.14286,1.58824,155.04044,181.84940
10.85714,102.57143,53.85714,59.42857,1.47059,145.30359,169.40709
10.42857,102.85715,53.42857,59.71429,1.40000,142.30763,163.61130
10.28571,102.85715,53.28571,59.71429,1.36471,141.55864,161.12669
10.14286,102.85715,53.14286,59.71429,1.34118,141.55864,159.74371
10.00000,102.85715,53.00000,59.71429,1.31765,141.55864,158.34866
10.00000,102.85715,53.00000,59.71429,1.31765,141.55864,158.34866
10.00000,102.85715,53.00000,59.71429,1.31765,141.55864,158.34866
9.85714,103.00000,52.85714,59.85714,1.35294,142.30762,160.89731
9.42857,102.42857,52.42857,59.28571,1.72941,155.04041,191.08557
10.00000,100.14286,53.00000,57.00000,2.30588,193.23875,246.61269
10.28571,100.00000,53.28571,56.85714,2.54118,204.47357,266.41895
